id_videojuego;beneficio_preorden
733;contenido adicional exclusivo
733;contenido adicional exclusivo
2993;ninguno
2207;contenido adicional exclusivo
2207;contenido adicional exclusivo
1029;ninguno
1029;ninguno
1372;ninguno
623;ninguno
127;contenido adicional exclusivo
109;contenido adicional exclusivo
109;contenido adicional exclusivo
327;ninguno
231;elementos visuales
231;elementos visuales
7331;ninguno
1009;ninguno
1026;ninguno
1887;ninguno
1871;ninguno
25076;ninguno
73;ninguno
12517;ninguno
12517;ninguno
231;elementos visuales
231;elementos visuales
1020;ninguno
8173;ninguno
960;ninguno
730;ninguno
730;ninguno
7344;ninguno
2155;ninguno
343;ninguno
132;ninguno
7351;ninguno
732;ninguno
1164;ninguno
1164;ninguno
1011;ninguno
1011;ninguno
866;ninguno
866;ninguno
529;contenido adicional exclusivo
233;ninguno
2207;contenido adicional exclusivo
2207;contenido adicional exclusivo
379;contenido adicional exclusivo
379;contenido adicional exclusivo
538;ninguno
538;ninguno
1266;ninguno
11156;ninguno
7346;ninguno
7346;ninguno
733;contenido adicional exclusivo
733;contenido adicional exclusivo
39;ninguno
39;ninguno
1011;ninguno
1011;ninguno
40;ninguno
40;ninguno
15;ninguno
15;ninguno
427;ninguno
19560;ninguno
16;ninguno
866;ninguno
866;ninguno
6801;ninguno
6801;ninguno
472;elementos visuales
559;ninguno
38;ninguno
1121;ninguno
1121;ninguno
7346;ninguno
7346;ninguno
533;ninguno
379;contenido adicional exclusivo
379;contenido adicional exclusivo
19565;elementos visuales
512;ninguno
512;ninguno
565;ninguno
7323;ninguno
7323;ninguno
1802;elementos visuales
1262;ninguno
1262;ninguno
673;elementos visuales
551;ninguno
1164;ninguno
1164;ninguno
7342;contenido adicional exclusivo
7342;contenido adicional exclusivo
7342;contenido adicional exclusivo
7342;contenido adicional exclusivo
75;contenido adicional exclusivo
7323;ninguno
7323;ninguno
40;ninguno
40;ninguno
113;ninguno
113;ninguno
979;ninguno
1121;ninguno
1121;ninguno
39;ninguno
39;ninguno
247;ninguno
21;contenido adicional exclusivo
21;contenido adicional exclusivo
11133;contenido adicional exclusivo
545;ninguno
545;ninguno
512;ninguno
512;ninguno
1029;ninguno
1029;ninguno
128;ninguno
1262;ninguno
1262;ninguno
500;ninguno
7599;ninguno
124;ninguno
1985;ninguno
1985;ninguno
538;ninguno
538;ninguno
1331;ninguno
113;ninguno
113;ninguno
59;elementos visuales
14593;ninguno
974;ninguno
431;ninguno
431;ninguno
501;ninguno
358;ninguno
1352;contenido adicional exclusivo
15;ninguno
15;ninguno
6801;ninguno
6801;ninguno
1942;ninguno
545;ninguno
545;ninguno
121;ninguno
730;ninguno
730;ninguno
1985;ninguno
1985;ninguno
431;ninguno
431;ninguno
21;contenido adicional exclusivo
21;contenido adicional exclusivo
622;logro
1970;ninguno
72;ninguno
12517;ninguno
12517;ninguno
478;ninguno
43;ninguno
116;ninguno
3025;ninguno
434;logro
11198;ninguno
71;ninguno
537;ninguno
109;contenido adicional exclusivo
109;contenido adicional exclusivo
37;ninguno